# Mock SmartEdit Configuration Export (CSV style)
# This simulates the kind of configuration CSV that might be generated
# by the official "Exporting and Importing the Configuration of SmartEdit" feature.
#
# Real exports will contain actual registered component structures,
# allowed component types per slot, UI settings, etc.

ComponentType,AllowedInSlots,DisplayName,Icon,StructureAPI
ParagraphComponent,HeaderSlot|MainContentSlot|FooterSlot,Paragraph,paragraph-icon,registered
SimpleResponsiveBannerComponent,HomepageHeroSlot|MainContentSlot,Responsive Banner,banner-icon,registered
CMSLinkComponent,HeaderSlot|MainContentSlot,Link,link-icon,registered
ProductCarouselComponent,MainContentSlot,Product Carousel,carousel-icon,registered

# Additional config rows would include:
# - Page templates and their slot names
# - Restriction types enabled
# - Personalization settings
# - Custom component registrations
# - etc.

# Note: In a real export ZIP from SAP, this would be a proper CSV
# generated by the system with accurate current configuration.
